index,date,tic,time,open,high,low,close,volume,day
0,2022-11-14,000300.SH,00:00:00,3818.14,3848.41,3781.78,3794.02,169665048.0,0.0
0,2022-11-14,159915.SZ,00:00:00,2.333,2.345,2.296,2.302,5736871.0,0.0
0,2022-11-14,159985.SZ,00:00:00,1.837,1.837,1.798,1.807,201132.0,0.0
0,2022-11-14,510300.SH,00:00:00,3.677,3.698,3.619,3.629,8509669.0,0.0
0,2022-11-14,510500.SH,00:00:00,5.912,5.97,5.879,5.895,2591967.0,0.0
0,2022-11-14,513500.SH,00:00:00,1.338,1.34,1.322,1.324,2385792.0,0.0
0,2022-11-14,518880.SH,00:00:00,3.948,3.948,3.912,3.913,3459017.0,0.0
1,2022-11-15,000300.SH,00:00:00,3788.93,3871.64,3775.5,3865.97,151515650.0,1.0
1,2022-11-15,159915.SZ,00:00:00,2.297,2.362,2.287,2.361,6900639.0,1.0
1,2022-11-15,159985.SZ,00:00:00,1.802,1.808,1.796,1.804,155637.0,1.0
1,2022-11-15,510300.SH,00:00:00,3.621,3.713,3.614,3.704,7671835.0,1.0
1,2022-11-15,510500.SH,00:00:00,5.9,6.01,5.887,6.001,2977302.0,1.0
1,2022-11-15,513500.SH,00:00:00,1.321,1.327,1.321,1.326,2375796.0,1.0
1,2022-11-15,518880.SH,00:00:00,3.927,3.94,3.927,3.933,3160568.0,1.0
2,2022-11-16,000300.SH,00:00:00,3860.81,3877.68,3829.31,3834.39,120610964.0,2.0
2,2022-11-16,159915.SZ,00:00:00,2.359,2.372,2.327,2.33,5663526.0,2.0
2,2022-11-16,159985.SZ,00:00:00,1.807,1.818,1.803,1.813,149390.0,2.0
2,2022-11-16,510300.SH,00:00:00,3.697,3.717,3.67,3.675,5377972.0,2.0
2,2022-11-16,510500.SH,00:00:00,5.998,6.03,5.961,5.972,2080383.0,2.0
2,2022-11-16,513500.SH,00:00:00,1.321,1.339,1.32,1.336,3282414.0,2.0
2,2022-11-16,518880.SH,00:00:00,3.944,3.959,3.944,3.954,3661837.0,2.0
3,2022-11-17,000300.SH,00:00:00,3821.27,3821.74,3776.57,3818.66,105940632.0,3.0
3,2022-11-17,159915.SZ,00:00:00,2.322,2.322,2.281,2.316,6296816.0,3.0
3,2022-11-17,159985.SZ,00:00:00,1.803,1.808,1.797,1.803,158199.0,3.0
3,2022-11-17,510300.SH,00:00:00,3.665,3.665,3.614,3.658,7916228.0,3.0
3,2022-11-17,510500.SH,00:00:00,5.952,5.988,5.921,5.985,3296446.0,3.0
3,2022-11-17,513500.SH,00:00:00,1.327,1.336,1.326,1.335,1980835.0,3.0
3,2022-11-17,518880.SH,00:00:00,3.954,3.965,3.95,3.958,3082248.0,3.0
4,2022-11-18,000300.SH,00:00:00,3823.82,3840.3,3801.57,3801.57,115078777.0,4.0
4,2022-11-18,159915.SZ,00:00:00,2.317,2.348,2.312,2.315,7439799.0,4.0
4,2022-11-18,159985.SZ,00:00:00,1.8,1.8,1.778,1.787,167747.0,4.0
4,2022-11-18,510300.SH,00:00:00,3.661,3.681,3.638,3.645,6491949.0,4.0
4,2022-11-18,510500.SH,00:00:00,5.985,6.027,5.958,5.973,4650590.0,4.0
4,2022-11-18,513500.SH,00:00:00,1.33,1.333,1.325,1.326,1314593.0,4.0
4,2022-11-18,518880.SH,00:00:00,3.953,3.964,3.949,3.952,3333086.0,4.0
5,2022-11-21,000300.SH,00:00:00,3769.63,3769.87,3734.0,3769.13,95866966.0,0.0
