index,date,tic,time,open,high,low,close,volume,day
0,2019-12-05,000300.SH,00:00:00,3863.61,3883.4,3859.82,3879.36,89051192.0,3.0
0,2019-12-05,159915.SZ,00:00:00,1.615,1.65,1.615,1.648,3982671.0,3.0
0,2019-12-05,159985.SZ,00:00:00,0.983,0.995,0.978,0.986,122257.0,3.0
0,2019-12-05,510300.SH,00:00:00,3.491,3.519,3.49,3.512,2192064.0,3.0
0,2019-12-05,510500.SH,00:00:00,4.414,4.462,4.407,4.447,2189918.0,3.0
0,2019-12-05,513500.SH,00:00:00,1.027,1.028,1.025,1.026,336221.0,3.0
0,2019-12-05,518880.SH,00:00:00,3.317,3.322,3.316,3.321,1821314.0,3.0
1,2019-12-06,000300.SH,00:00:00,3885.06,3902.39,3878.7,3902.39,78648888.0,4.0
1,2019-12-06,159915.SZ,00:00:00,1.646,1.662,1.641,1.662,2885881.0,4.0
1,2019-12-06,159985.SZ,00:00:00,0.993,0.996,0.982,0.984,281011.0,4.0
1,2019-12-06,510300.SH,00:00:00,3.514,3.537,3.509,3.536,2130770.0,4.0
1,2019-12-06,510500.SH,00:00:00,4.448,4.495,4.435,4.493,1887821.0,4.0
1,2019-12-06,513500.SH,00:00:00,1.028,1.029,1.027,1.029,271470.0,4.0
1,2019-12-06,518880.SH,00:00:00,3.315,3.316,3.296,3.297,3086978.0,4.0
2,2019-12-09,000300.SH,00:00:00,3909.53,3911.97,3885.25,3895.45,95353807.0,0.0
2,2019-12-09,159915.SZ,00:00:00,1.667,1.669,1.65,1.656,2760774.0,0.0
2,2019-12-09,159985.SZ,00:00:00,0.986,0.993,0.986,0.988,110016.0,0.0
2,2019-12-09,510300.SH,00:00:00,3.536,3.545,3.512,3.523,2322208.0,0.0
2,2019-12-09,510500.SH,00:00:00,4.496,4.517,4.482,4.503,1971447.0,0.0
2,2019-12-09,513500.SH,00:00:00,1.035,1.04,1.034,1.039,239035.0,0.0
2,2019-12-09,518880.SH,00:00:00,3.272,3.279,3.27,3.275,4032803.0,0.0
3,2019-12-10,000300.SH,00:00:00,3886.44,3900.96,3882.09,3900.38,86262927.0,1.0
3,2019-12-10,159915.SZ,00:00:00,1.651,1.67,1.645,1.67,2450735.0,1.0
3,2019-12-10,159985.SZ,00:00:00,0.987,0.99,0.984,0.987,53524.0,1.0
3,2019-12-10,510300.SH,00:00:00,3.516,3.531,3.511,3.526,1869955.0,1.0
3,2019-12-10,510500.SH,00:00:00,4.494,4.535,4.479,4.525,1727330.0,1.0
3,2019-12-10,513500.SH,00:00:00,1.036,1.036,1.033,1.035,460973.0,1.0
